CCAA,Tramo,Limite_Inferior,Limite_Superior,Tipo_Estatal,Tipo_Autonómico,Tipo_Combinado,Fuente_PDF
Supletorio (estatal),1,0,12450,0.095,0.095,0.19,Orden HFP/886/2025
Supletorio (estatal),2,12450,20200,0.12,0.12,0.24,Orden HFP/886/2025
Supletorio (estatal),3,20200,35200,0.15,0.15,0.30,Orden HFP/886/2025
Supletorio (estatal),4,35200,60000,0.185,0.185,0.37,Orden HFP/886/2025
Supletorio (estatal),5,60000,300000,0.225,0.225,0.45,Orden HFP/886/2025
Supletorio (estatal),6,300000,Infinity,0.245,0.245,0.49,Orden HFP/886/2025
Madrid,1,0,13362.22,0.095,0.085,0.18,PDF Hacienda pág. 47
Madrid,2,13362.22,19004.63,0.12,0.107,0.227,PDF Hacienda pág. 47
Madrid,3,19004.63,35425.68,0.15,0.128,0.278,PDF Hacienda pág. 47
Madrid,4,35425.68,60000,0.185,0.179,0.359,PDF Hacienda pág. 47
Madrid,5,60000,90000,0.225,0.205,0.43,PDF Hacienda pág. 47
Madrid,6,90000,175000,0.225,0.235,0.46,PDF Hacienda pág. 47
Madrid,7,175000,Infinity,0.245,0.255,0.50,PDF Hacienda pág. 47
Cataluña,1,0,12500,0.095,0.095,0.19,PDF Hacienda pág. 63
Cataluña,2,12500,22000,0.12,0.125,0.245,PDF Hacienda pág. 63
Cataluña,3,22000,33000,0.15,0.16,0.31,PDF Hacienda pág. 63
Cataluña,4,33000,53000,0.185,0.19,0.375,PDF Hacienda pág. 63
Cataluña,5,53000,90000,0.225,0.215,0.44,PDF Hacienda pág. 63
Cataluña,6,90000,120000,0.225,0.235,0.46,PDF Hacienda pág. 63
Cataluña,7,120000,175000,0.245,0.245,0.49,PDF Hacienda pág. 63
Cataluña,8,175000,Infinity,0.245,0.255,0.50,PDF Hacienda pág. 63
Andalucía,1,0,13000,0.095,0.095,0.19,PDF Hacienda pág. 15
Andalucía,2,13000,21100,0.12,0.12,0.24,PDF Hacienda pág. 15
Andalucía,3,21100,35200,0.15,0.15,0.30,PDF Hacienda pág. 15
Andalucía,4,35200,60000,0.185,0.192,0.377,PDF Hacienda pág. 15
Andalucía,5,60000,Infinity,0.225,0.225,0.45,PDF Hacienda pág. 15
Aragón,1,0,13072.50,0.095,0.095,0.19,PDF Hacienda pág. 21
Aragón,2,13072.50,21210,0.12,0.12,0.24,PDF Hacienda pág. 21
Aragón,3,21210,36960,0.15,0.15,0.30,PDF Hacienda pág. 21
Aragón,4,36960,53407.20,0.185,0.192,0.377,PDF Hacienda pág. 21
Aragón,5,53407.20,70000,0.225,0.215,0.44,PDF Hacienda pág. 21
Aragón,6,70000,90000,0.225,0.235,0.46,PDF Hacienda pág. 21
Aragón,7,90000,175000,0.245,0.255,0.50,PDF Hacienda pág. 21
Aragón,8,175000,Infinity,0.245,0.255,0.50,PDF Hacienda pág. 21
Asturias,1,0,12450,0.095,0.09,0.185,PDF Hacienda pág. 27
Asturias,2,12450,17707.20,0.12,0.12,0.24,PDF Hacienda pág. 27
Asturias,3,17707.20,35200,0.15,0.14,0.29,PDF Hacienda pág. 27
Asturias,4,35200,53407.20,0.185,0.192,0.377,PDF Hacienda pág. 27
Asturias,5,53407.20,70000,0.225,0.215,0.44,PDF Hacienda pág. 27
Asturias,6,70000,Infinity,0.245,0.26,0.505,PDF Hacienda pág. 27
Baleares,1,0,10000,0.095,0.09,0.185,PDF Hacienda pág. 35
Baleares,2,10000,18000,0.12,0.1125,0.2325,PDF Hacienda pág. 35
Baleares,3,18000,30000,0.15,0.15,0.30,PDF Hacienda pág. 35
Baleares,4,30000,48000,0.185,0.192,0.377,PDF Hacienda pág. 35
Baleares,5,48000,70000,0.225,0.215,0.44,PDF Hacienda pág. 35
Baleares,6,70000,90000,0.225,0.235,0.46,PDF Hacienda pág. 35
Baleares,7,90000,175000,0.245,0.255,0.50,PDF Hacienda pág. 35
Baleares,8,175000,Infinity,0.245,0.255,0.50,PDF Hacienda pág. 35
Canarias,1,0,13748,0.095,0.09,0.185,PDF Hacienda pág. 41
Canarias,2,13748,19422,0.12,0.115,0.235,PDF Hacienda pág. 41
Canarias,3,19422,35924,0.15,0.14,0.29,PDF Hacienda pág. 41
Canarias,4,35924,53407,0.185,0.192,0.377,PDF Hacienda pág. 41
Canarias,5,53407,70000,0.225,0.215,0.44,PDF Hacienda pág. 41
Canarias,6,70000,90000,0.225,0.235,0.46,PDF Hacienda pág. 41
Canarias,7,90000,175000,0.245,0.255,0.50,PDF Hacienda pág. 41
Canarias,8,175000,Infinity,0.245,0.255,0.50,PDF Hacienda pág. 41
Cantabria,1,0,13000,0.095,0.085,0.18,PDF Hacienda pág. 53
Cantabria,2,13000,21000,0.12,0.11,0.23,PDF Hacienda pág. 53
Cantabria,3,21000,35200,0.15,0.145,0.295,PDF Hacienda pág. 53
Cantabria,4,35200,60000,0.185,0.20,0.385,PDF Hacienda pág. 53
Cantabria,5,60000,90000,0.225,0.215,0.44,PDF Hacienda pág. 53
Cantabria,6,90000,175000,0.245,0.245,0.49,PDF Hacienda pág. 53
Cantabria,7,175000,Infinity,0.245,0.27,0.515,PDF Hacienda pág. 53
Castilla y León,1,0,12450,0.095,0.09,0.185,PDF Hacienda pág. 59
Castilla y León,2,12450,20200,0.12,0.12,0.24,PDF Hacienda pág. 59
Castilla y León,3,20200,35200,0.15,0.15,0.30,PDF Hacienda pág. 59
Castilla y León,4,35200,53407.20,0.185,0.192,0.377,PDF Hacienda pág. 59
Castilla y León,5,53407.20,Infinity,0.245,0.215,0.46,PDF Hacienda pág. 59
Castilla-La Mancha,1,0,12450,0.095,0.095,0.19,PDF Hacienda pág. 65
Castilla-La Mancha,2,12450,20200,0.12,0.12,0.24,PDF Hacienda pág. 65
Castilla-La Mancha,3,20200,35200,0.15,0.15,0.30,PDF Hacienda pág. 65
Castilla-La Mancha,4,35200,60000,0.185,0.192,0.377,PDF Hacienda pág. 65
Castilla-La Mancha,5,60000,90000,0.225,0.215,0.44,PDF Hacienda pág. 65
Castilla-La Mancha,6,90000,175000,0.225,0.245,0.47,PDF Hacienda pág. 65
Castilla-La Mancha,7,175000,Infinity,0.245,0.27,0.515,PDF Hacienda pág. 65
Extremadura,1,0,12450,0.095,0.08,0.175,PDF Hacienda pág. 75
Extremadura,2,12450,15000,0.12,0.10,0.22,PDF Hacienda pág. 75
Extremadura,3,15000,20200,0.12,0.16,0.28,PDF Hacienda pág. 75
Extremadura,4,20200,24200,0.15,0.195,0.345,PDF Hacienda pág. 75
Extremadura,5,24200,35200,0.15,0.20,0.35,PDF Hacienda pág. 75
Extremadura,6,35200,45000,0.185,0.235,0.42,PDF Hacienda pág. 75
Extremadura,7,45000,60000,0.225,0.27,0.495,PDF Hacienda pág. 75
Extremadura,8,60000,80000,0.225,0.29,0.515,PDF Hacienda pág. 75
Extremadura,9,80000,120000,0.245,0.32,0.565,PDF Hacienda pág. 75
Extremadura,10,120000,Infinity,0.245,0.35,0.595,PDF Hacienda pág. 75
Galicia,1,0,12985.35,0.095,0.09,0.185,PDF Hacienda pág. 81
Galicia,2,12985.35,21068.60,0.12,0.1165,0.2365,PDF Hacienda pág. 81
Galicia,3,21068.60,35200,0.15,0.149,0.299,PDF Hacienda pág. 81
Galicia,4,35200,60000,0.185,0.184,0.369,PDF Hacienda pág. 81
Galicia,5,60000,Infinity,0.225,0.225,0.45,PDF Hacienda pág. 81
La Rioja,1,0,12450,0.095,0.095,0.19,PDF Hacienda pág. 89
La Rioja,2,12450,20200,0.12,0.12,0.24,PDF Hacienda pág. 89
La Rioja,3,20200,35200,0.15,0.15,0.30,PDF Hacienda pág. 89
La Rioja,4,35200,60000,0.185,0.192,0.377,PDF Hacienda pág. 89
La Rioja,5,60000,Infinity,0.225,0.225,0.45,PDF Hacienda pág. 89
Murcia,1,0,12450,0.095,0.095,0.19,PDF Hacienda pág. 99
Murcia,2,12450,20200,0.12,0.112,0.232,PDF Hacienda pág. 99
Murcia,3,20200,35200,0.15,0.133,0.283,PDF Hacienda pág. 99
Murcia,4,35200,60000,0.185,0.192,0.377,PDF Hacienda pág. 99
Murcia,5,60000,Infinity,0.225,0.225,0.45,PDF Hacienda pág. 99
C. Valenciana,1,0,12450,0.095,0.095,0.19,PDF Hacienda pág. 105
C. Valenciana,2,12450,17000,0.12,0.115,0.235,PDF Hacienda pág. 105
C. Valenciana,3,17000,22000,0.12,0.135,0.255,PDF Hacienda pág. 105
C. Valenciana,4,22000,30000,0.15,0.15,0.30,PDF Hacienda pág. 105
C. Valenciana,5,30000,40000,0.185,0.17,0.355,PDF Hacienda pág. 105
C. Valenciana,6,40000,50000,0.185,0.185,0.37,PDF Hacienda pág. 105
C. Valenciana,7,50000,65000,0.225,0.195,0.42,PDF Hacienda pág. 105
C. Valenciana,8,65000,80000,0.225,0.215,0.44,PDF Hacienda pág. 105
C. Valenciana,9,80000,120000,0.245,0.23,0.475,PDF Hacienda pág. 105
C. Valenciana,10,120000,175000,0.245,0.27,0.515,PDF Hacienda pág. 105
C. Valenciana,11,175000,Infinity,0.245,0.29,0.535,PDF Hacienda pág. 105
Ceuta,1,0,12450,0.095,0.095,0.19,PDF Hacienda pág. 111
Ceuta,2,12450,20200,0.12,0.12,0.24,PDF Hacienda pág. 111
Ceuta,3,20200,35200,0.15,0.15,0.30,PDF Hacienda pág. 111
Ceuta,4,35200,60000,0.185,0.185,0.37,PDF Hacienda pág. 111
Ceuta,5,60000,Infinity,0.225,0.225,0.45,PDF Hacienda pág. 111
Melilla,1,0,12450,0.095,0.095,0.19,PDF Hacienda pág. 117
Melilla,2,12450,20200,0.12,0.12,0.24,PDF Hacienda pág. 117
Melilla,3,20200,35200,0.15,0.15,0.30,PDF Hacienda pág. 117
Melilla,4,35200,60000,0.185,0.185,0.37,PDF Hacienda pág. 117
Melilla,5,60000,Infinity,0.225,0.225,0.45,PDF Hacienda pág. 117
Navarra (foral),1,0,4292,0,0.13,0.13,PDF Hacienda pág. 155
Navarra (foral),2,4292,8584,0,0.22,0.22,PDF Hacienda pág. 155
Navarra (foral),3,8584,15634,0,0.25,0.25,PDF Hacienda pág. 155
Navarra (foral),4,15634,24704,0,0.28,0.28,PDF Hacienda pág. 155
Navarra (foral),5,24704,33984,0,0.35,0.35,PDF Hacienda pág. 155
Navarra (foral),6,33984,52600,0,0.40,0.40,PDF Hacienda pág. 155
Navarra (foral),7,52600,70000,0,0.45,0.45,PDF Hacienda pág. 155
Navarra (foral),8,70000,90000,0,0.47,0.47,PDF Hacienda pág. 155
Navarra (foral),9,90000,180000,0,0.49,0.49,PDF Hacienda pág. 155
Navarra (foral),10,180000,300000,0,0.50,0.50,PDF Hacienda pág. 155
Navarra (foral),11,300000,Infinity,0,0.52,0.52,PDF Hacienda pág. 155
País Vasco (foral),1,0,17360,0,0.23,0.23,PDF Hacienda pág. 160
País Vasco (foral),2,17360,32060,0,0.28,0.28,PDF Hacienda pág. 160
País Vasco (foral),3,32060,47560,0,0.35,0.35,PDF Hacienda pág. 160
País Vasco (foral),4,47560,78060,0,0.40,0.40,PDF Hacienda pág. 160
País Vasco (foral),5,78060,108560,0,0.45,0.45,PDF Hacienda pág. 160
País Vasco (foral),6,108560,192560,0,0.47,0.47,PDF Hacienda pág. 160
País Vasco (foral),7,192560,Infinity,0,0.49,0.49,PDF Hacienda pág. 160
